Hole_ID,X,Y,RL_AHD,Depth
RKC287,548498.1,7475199,458.9,42
RKC288,548396.9,7475197.1,458.5,41
RKC289,548198.7,7475193.7,457.9,49
RKC290,548098.7,7475196.6,457.4,49
RKC291,547999.3,7475198.2,456.9,49
RKC292,547895.7,7475196.5,456.4,48
RKC293,547795.9,7475200.2,454.2,43
RKC294,547700.7,7475193.2,453.9,43
RKC295,547600.8,7475193.9,454.9,37
RKC296,547496.4,7475199.8,456.6,29
RKC297,547397.3,7475195.8,458,25
RKC298,548289.1,7474408,455.5,54
RKC299,548198.4,7474405.9,456.2,55
RKC300,548101.5,7474399.7,456.2,61
RKC301,548000.3,7474397.5,454.6,61
RKC302,547893.7,7474406,454.1,55
RKC303,547803.4,7474404.6,453.5,55
RKC304,547704.7,7474400.6,454.1,58
RKC305,547586.1,7474399.5,450.6,55
RKC306,547501.2,7474400.3,453.3,55
RKC307,547391.2,7474384.2,453.9,55
RKC308,547298.4,7474397.6,454,49
RKC309,547200.2,7474400.8,454.8,31
